add_question("भारत का स्वतंत्रता संग्राम किस वर्ष शुरू हुआ?", "1857", "1942", "1919", "1930", "A")

add_question("महात्मा गांधी ने कौन सा आंदोलन 1920 में शुरू किया?", "स्वतंत्रता आंदोलन", "अंग्रेजी राज के खिलाफ आंदोलन", "चंपारण सत्याग्रह", "खिलाफत आंदोलन", "C")

add_question("कौन सा शासक भारतीय उपमहाद्वीप में सबसे पहले आक्रमणकारी था?", "अलेक्ज़ांडर", "चंगेज़ ख़ान", "अटिला", "कुण्‍नर", "A")

add_question("भारतीय स्वतंत्रता संग्राम की पहली महिला शहीद कौन थी?", "झाँसी की रानी", "सुबद्राकुमारी चौहान", "सारोजिनी नायडू", "संतोष यादव", "A")

add_question("मौर्य साम्राज्य के संस्थापक कौन थे?", "चंद्रगुप्त मौर्य", "अशोक", "बिन्दुसार", "कौटिल्य", "A")

add_question("प्राचीन भारतीय गणराज्यों को क्या कहा जाता था?", "महाजनपद", "राज्य", "साम्राज्य", "नगर", "A")

add_question("कौन सा शासक सम्राट अशोक का पिता था?", "चंद्रगुप्त मौर्य", "बिन्दुसार", "कौटिल्य", "पुष्यमित्र शुंग", "B")

add_question("भारत में ब्रिटिश ईस्ट इंडिया कंपनी का पहला व्यापारी केंद्र कहाँ स्थापित किया गया था?", "कैलकत्ता", "मुम्बई", "चेन्नई", "पुडुचेरी", "A")

add_question("स्वतंत्रता संग्राम के दौरान 'भारत छोड़ो आंदोलन' का नेतृत्व किसने किया?", "नेहरू", "गांधी", "सुभाष चंद्र बोस", "लालालाजपत राय", "B")

add_question("लाल बलूआ पत्थर से निर्मित किला कौन सा है?", "लाल किला", "कुतुब मीनार", "फतेहपुर सीकरी", "कम्बल किला", "A")

add_question("किस मुग़ल सम्राट ने 'शाही बग़ीचा' या 'मुग़ल बाग़' की व्यवस्था की?", "अकबर", "शाहजहाँ", "जahangir", "Aurangzeb", "B")

add_question("कौन सा भारतीय विद्वान 'यथार्थवादी' और 'कूटनीतिज्ञ' के रूप में जाना जाता है?", "संतोष यादव", "चाणक्य", "कालिदास", "कवीर", "B")

add_question("किस गवर्नर जनरल ने भारत में 'वेतन सुधार' को लागू किया?", "लॉर्ड डलहौजी", "लॉर्ड वेलेजली", "लॉर्ड कर्ज़न", "लॉर्ड मिंटो", "A")

add_question("अकबर के 'नवरत्नों' में से कौन सा प्रसिद्ध संगीतकार था?", "कबीर", "तुलसीदास", "बीकाजी", "तानसेन", "D")

add_question("विजयनगर साम्राज्य का संस्थापक कौन था?", "कृष्णदेवराय", "हरिहर I", "रयाला", "चंद्रगुप्त", "B")

add_question("भारतीय स्वतंत्रता संग्राम में 'शहीद' शब्द का प्रसिद्ध उपयोग किसने किया?", "भगत सिंह", "सुभाष चंद्र बोस", "लालालाजपत राय", "रवींद्रनाथ ठाकुर", "A")

add_question("भारतीय इतिहास का सबसे पुराना धार्मिक ग्रंथ कौन सा है?", "वेद", "उपनिषद", "महाभारत", "रामायण", "A")

add_question("कौन सा भारतीय सम्राट 'धर्मशास्त्र' के नियमों के पालन के लिए प्रसिद्ध था?", "अशोक", "चंद्रगुप्त मौर्य", "हर्षवर्धन", "कुमारगुप्त", "A")

add_question("दक्षिण भारत के सबसे प्रसिद्ध 'संगीत सम्राट' कौन थे?", "लाल किला", "कृष्णदेवराय", "भगवान दास", "पठान खान", "B")

add_question("भारतीय स्वतंत्रता संग्राम के 'लाल बाल पाल' में शामिल नहीं थे:", "बाल गंगाधर तिलक", "लालालाजपत राय", "पंडित नेहरू", "सुभाष चंद्र बोस", "C")

add_question("अकबर के दरबार में 'जागीर' शब्द का प्रयोग किस संदर्भ में किया गया?", "भूमि वितरण", "कर संग्रह", "न्याय प्रणाली", "राजनैतिक नियुक्ति", "A")

add_question("किस भारतीय सम्राट ने 'सिंहासन हिलते हैं' का उद्घोष किया?", "अशोक", "शाहजहाँ", "Aurangzeb", "Aurangzeb", "B")

add_question("भारत में चाय की खेती का प्रचलन किस समय से शुरू हुआ?", "16वीं सदी", "17वीं सदी", "18वीं सदी", "19वीं सदी", "D")

add_question("सिखों के दसवें गुरु कौन थे?", "गुरु नानक", "गुरु गोबिंद सिंह", "गुरु हरकृष्ण", "गुरु अर्जुन देव", "B")

add_question("भारतीय स्वतंत्रता संग्राम के महान नेता 'नेहरू' के पिता का नाम क्या था?", "पंडित मदन मोहन मालवीय", "लालालाजपत राय", "पंडित मोहनलाल", "पंडित मोतीलाल नेहरू", "D")

add_question("सती प्रथा पर प्रतिबंध लगाने वाला ब्रिटिश गवर्नर जनरल कौन था?", "लॉर्ड विलियम बेंटिक", "लॉर्ड वेलेजली", "लॉर्ड कर्ज़न", "लॉर्ड मिंटो", "A")

add_question("अखिल भारतीय मुस्लिम लीग की स्थापना कब हुई?", "1905", "1906", "1907", "1908", "B")

add_question("मौर्य साम्राज्य के सबसे प्रसिद्ध सम्राट कौन थे?", "अशोक", "चंद्रगुप्त मौर्य", "सकन्द", "विजय", "A")

add_question("किस सम्राट ने 'सारनाथ' में 'लोटस थ्रोन' का निर्माण कराया?", "अशोक", "चंद्रगुप्त मौर्य", "हर्षवर्धन", "कुमारगुप्त", "A")

add_question("किस भारतीय सम्राट के समय में 'मौर्य साम्राज्य' का उत्कर्ष हुआ?", "चंद्रगुप्त मौर्य", "अशोक", "बिन्दुसार", "कौटिल्य", "B")

add_question("कौन सा भारतीय नेता 'राष्ट्रपति' पद के पहले भारतीय थे?", "डॉ. राजेंद्र प्रसाद", "डॉ. सर्वपल्ली राधाकृष्णन", "डॉ. अब्दुल कलाम", "पंडित नेहरू", "A")

add_question("ब्रिटिश राज के खिलाफ 'हिन्दू महासभा' की स्थापना किसने की?", "सावरकर", "लालालाजपत राय", "सुभाष चंद्र बोस", "चंद्रगुप्त मौर्य", "A")

add_question("संत तुकाराम किस राज्य से संबंधित थे?", "महाराष्ट्र", "गुजरात", "उत्तर प्रदेश", "कर्नाटका", "A")

add_question("भारत की पहली महिला प्रधानमंत्री कौन थीं?", "इंदिरा गांधी", "सरोजनी नायडू", "कल्पना चावला", "प्रभा देवी", "A")

